dimension	neighbor 0	neighbor 1	neighbor 2	neighbor 3	neighbor 4	neighbor 5	neighbor 6	neighbor 7	neighbor 8	neighbor 9	neighbor 10	neighbor 11	neighbor 12	neighbor 13	neighbor 14	neighbor 15	neighbor 16	neighbor 17	neighbor 18	neighbor 19	neighbor 20	neighbor 21	neighbor 22	neighbor 23	neighbor 24	neighbor 25	neighbor 26	neighbor 27	neighbor 28	neighbor 29	neighbor 30	neighbor 31	neighbor 32	neighbor 33	neighbor 34	neighbor 35	neighbor 36	neighbor 37	neighbor 38	neighbor 39	neighbor 40	neighbor 41	neighbor 42	neighbor 43	neighbor 44	neighbor 45	neighbor 46	neighbor 47	neighbor 48	neighbor 49	neighbor 50	neighbor 51	neighbor 52	neighbor 53	neighbor 54	neighbor 55	neighbor 56	neighbor 57	neighbor 58	neighbor 59	neighbor 60	neighbor 61	neighbor 62	neighbor 63	neighbor 64	neighbor 65	neighbor 66	neighbor 67	neighbor 68	neighbor 69	neighbor 70	neighbor 71	neighbor 72	neighbor 73	neighbor 74	neighbor 75	neighbor 76	neighbor 77	neighbor 78	neighbor 79	neighbor 80	neighbor 81	neighbor 82	neighbor 83	neighbor 84	neighbor 85	neighbor 86	neighbor 87	neighbor 88	neighbor 89	neighbor 90	neighbor 91	neighbor 92	neighbor 93	neighbor 94	neighbor 95	neighbor 96	neighbor 97	neighbor 98	neighbor 99	neighbor -100	neighbor -99	neighbor -98	neighbor -97	neighbor -96	neighbor -95	neighbor -94	neighbor -93	neighbor -92	neighbor -91	neighbor -90	neighbor -89	neighbor -88	neighbor -87	neighbor -86	neighbor -85	neighbor -84	neighbor -83	neighbor -82	neighbor -81	neighbor -80	neighbor -79	neighbor -78	neighbor -77	neighbor -76	neighbor -75	neighbor -74	neighbor -73	neighbor -72	neighbor -71	neighbor -70	neighbor -69	neighbor -68	neighbor -67	neighbor -66	neighbor -65	neighbor -64	neighbor -63	neighbor -62	neighbor -61	neighbor -60	neighbor -59	neighbor -58	neighbor -57	neighbor -56	neighbor -55	neighbor -54	neighbor -53	neighbor -52	neighbor -51	neighbor -50	neighbor -49	neighbor -48	neighbor -47	neighbor -46	neighbor -45	neighbor -44	neighbor -43	neighbor -42	neighbor -41	neighbor -40	neighbor -39	neighbor -38	neighbor -37	neighbor -36	neighbor -35	neighbor -34	neighbor -33	neighbor -32	neighbor -31	neighbor -30	neighbor -29	neighbor -28	neighbor -27	neighbor -26	neighbor -25	neighbor -24	neighbor -23	neighbor -22	neighbor -21	neighbor -20	neighbor -19	neighbor -18	neighbor -17	neighbor -16	neighbor -15	neighbor -14	neighbor -13	neighbor -12	neighbor -11	neighbor -10	neighbor -9	neighbor -8	neighbor -7	neighbor -6	neighbor -5	neighbor -4	neighbor -3	neighbor -2	neighbor -1
cold-hot	cold	coldness	chill	icy	chilling	icy_cold	chilled	colder	chilly	ice	shivering	colds	bone_chilling_cold	frigid	chilliness	unfrozen	Frigid	Coldness	Cold	numbingly_cold	icy_chill	frigidity	numbing_cold	wind_whistled	ice_cold	bitter_cold	frosty	bone_chilling	wind_whistling	snowy	gray_skies	snowless	snow	crystalline	bitterly_cold	freezing_cold	frozen	chillier	frostbite	deathly_cold	sleet	colder_than	unfroze	winter	Shivering	chiller	frost	wintery	starkness	spine_chilling	Vemor	chillun	icy_stare	Ghostland	windchill	chills	shivered_slightly	frozen_stiff	coldest	snowdrift	iciness	cold_wind_blew	refrozen	chillingly	subarctic	shockingly_cold	falling_snow	premonition	shivered	Wind_whistled	snows	stony_expression	shivers	Mirror_Lake	trembling_slightly	chilliest	icy_water	frozen_slush	frosts	cobwebbed	lichen_encrusted	snowfalls	ice_encrusted	coldly	premonitions	crusty_snow	Iceman	frost_giants	arctic	Ghost	immobile	sent_shivers	Maelgwyn	wind_whistled_through	somber_expression	stoniness	snowfall	frigid_winter	pneumonia	cold_tile_floor	honeydew	Chassi	pom	rioting	singer	incendiaries	brassy	redhot	fricassee	hawg	Booty	P220	Joyboy	Punky	ATC	fry_pan	Hayworth	stewpot	promo	pots	vette	coppery_red	bopper	riper	spices	Steve	afterburner	flag_waving	busty	ripe	honeydews	hot_rod	Amazeballs_Media	Texas	West_African	yom	incense_burners	promoter	incense_burner	Fujita	nubile_young	tango	gumballscom	Joshua_Tree	Davids	afterburners	hotwire	spiced	Waco_Texas	heat	BU	manga	HOOPER	tortillas	rashers	Pumper	spic	burners	sexy	halter_tops	burner	Sabra	highly_publicized	rip_roaring	halter_top	hotties	promoters	cookout	creative	PETA	du_jour	poppin	air_balloon	REPORTER	incendiary	Ahm	whot	cherry_red	hottle	Ooops	Chass	pooty	Georgie_Porgie	teaming	hottom	burned_hotter	fulla	ruby_red	spice	hottie	burnin	Bellissimo	spics	hotting	hotspots	hottest	hotter	hotspot	Hot	hot
ripe-unripe	ripe	Forties	Belmont	Intimidating	riper	Corrupt	Proxy	high_maintenance	Facilities	Simulation	Uniform	Uniforms	VR_suits	Deltans	busty	Sea_Venture	Bellissimo	Plans	Design	Glamorous	wiseguys	suits	Designed	Deltan	big_breasted	Outfit	ripely	boardroom	Navy_uniform	anywhere_near	Deco_Industries	Ventures	intimidate	boardrooms	Biomedical	Intimidation	Delta	Delta_Zeta_Chi	Uniformed	suite	suit	Designing	Boutique	Unisex	fully_automated	well_muscled	Two_uniformed_cops	medical_unit	fullback	Girt	Executive_Space_Ship	New_Venture	Intimidator	Delt	Z_Wayne	Facility	John_Wayne	aheady	Femme	stunningly_beautiful	cavernous_unisex	Designers	launch_facility	Sybelle	Squaring	two_uniformed_cops	Prom	Magnificent	midforties	fully_staffed	Biodyne	creature_comforts	Biotech	Retire	Faire	showboating	fulltime	Intelligent	Humaniforms	Regents	Licensed	Designer	naval_uniform	Relaxed	dress_uniform	Cooperate	toget	willowy	Savitt	Proximity	Security_Officer	Terrafirm	Simulated	brokerage_firm	highly_automated	Terraformer	Simon_Roth	slinky_dress	Requirements	Hulmes	nuggets	unreeling	root	Stolypin	corn_pollen	unscrambled	unpunctuated	unopened_letter	el_Hammeh	gherkins	unwound	loose_leaf_paper	ciel	kola	irregular_verbs	uneven_stones	unhealed	unwrapped	unh	gummy_worms	uncaps	unsplit	tablespoon	irregular	ung	runny	thom	absent_minded	unroll	dolomite	foolscap	unrivalled	an_avalanche	eraser	un_der	ich	unshorn	unsayable	ea	diphthong	mitre	unheeding	tins	parmesan	mason_jar	unsalable	pretzel_sticks	unshaded	unk	unpeeled	irregulars	plastic_forks	hands_trembled	unopened	stirrer	unfrozen	unshed	anemic	unpin	odd_bits	unum	unshaken	corn_pone	jiggeh	aspirin_tablets	unreturned	obstinacy	diphthongs	egg_yolk	unsung	plastic_fork	orpiment	irregularly	unscratched	snowglobe	unsalted	unglazed	gum_wrapper	unredeemed	unheeded	unf	unset	uncapping	unpeel	psoriatic	hoary	unreel	unshoveled	four_AM	uncapped	kopf	tablets	uncap	unread	hoar	unsay	unrisen	unre	uns	unripe
new-old	new	fresh	new_batch	changes	rethink	redefining	sequencing	newly	newest	brand_new	potentials	new_discoveries	presentients	expand	redesigns	new_hires	multimedia	potentiality	Brand_new	New	redesign	multiverse	an_unprecedented	potential	fitness	improves	gain_insight	potential_investors	V1	different	grant_proposals	potentialities	problem_solving	create	new_beginnings	new_era	redefine	multitasking	monomolecular	changeover	mutating	multicellular	rapidly_expanding	innovative	afresh	redevelopment	unique_perspective	Molecular	new_dimension	tweaks	stimulating	permutation	tweak	Innovative	new_developments	modifying	singular_goal	Artificial	drastically	improved	software	latest_discovery	latest_development	Testing	streamlining	new_technologies	improve	mutation	unique	Nexos	perks	change	innovation	completely_different	an_improvement	Innovations	latest_creation	new_specie	innovations	vastly_different	grant_proposal	promotion	latest_developments	chem_lab	latest_update	tne	subtly_different	testing	fullscale	latest_batch	vastly_improved	funding	mutations	patent_application	potentially	final_product	reworking	redesigning	potential_clients	enhance	played_gin_rummy	gnarled_roots	Tobacco_Road	Fripp	gray_bearded	senile	army_blanket	stoop_shouldered	Aunt_Minnie	aunts	Aunt_Midge	walla	playing_possum	wicker_rocker	orangy	Old_Milija	emaciated	Gray_Rock	Ben_Cruachan	crab_pots	gnarled_root	elm	grizzled_beard	Nemeton	dotty_old	Uncle_Harm	Astos	old_codgers	antiquated	Rhett	grandfathers	Irishman	old_geezers	age	gnarled_trunks	orange_haired	oldtimers	Ford_Cortina	grandmere	ironwood	hawk_nosed	rickety	sway_backed	ill_temper	older_than	gnarled_oak	old_chap	lorn	Old_Lady_Xuong	tokoloshe	pug_nosed	doddering	Gnarled	crabby_old	arthritic_joints	old_geezer	old_biddies	ill_tempered	stooped	old_timer	old_Vandoise	gnarl	olds	aging	old_coot	oldish	oldie	weathered	hunchbacked	grandfathered	old_farmhouse	old_codger	doddery	gnarled_hands	old_biddy	graying_temples	relic	old_Ford_pickup	hook_nosed	frail	doddering_old	hump_backed	old_timey	olden	elder	oldtime	aged	frayed_rope	arthritic	old_lady	old_duffer	oldtimer	ancient	gnarled	Old	older	old_hag	old_farts	old_fart	old
submissive-aggressive	submissively	submissive	submission	submissions	submissiveness	Submission	Daughter_Lord	submit	submits	Sir_Giles	submitting	Osraed_Bevol	Osrith	benedict	benediction	Blessed_Mother	Lord_giveth	silken	penitence	Prayer_Book	Lord_Almighty	supplicating	Chameol	supplication	gramma	Gethsemane	buried	Condolences	Mother_Confessor	Etheldred	penitent	giveth	grammaw	Skeet	submitted	prayer_mat	lule	prayer_book	Holy_Mary_Mother	Daughter_lord	bowed	Gwynet	Auryn	Gendun	supplicate	Master_Giles	Accept	absolve	signed_copy	Lord_Jesus	fitted_sheet	prayerbook	Petrarch	absolved	Canterbury_Tales	Daughter	Qing_jao	psalmist	Dona_Maninha	Halig_liath	prayer_shawl	Yocheved	genuflect	offering_condolences	benedictions	sleepsack	Bagwas	nodded_gravely	Lord_Tennyson	hymnal	copied	holy_Pakhomios	Our_Lord	Zac_Peten	Artemisia	Agneth	Padma	IxChan_Pana	Lord_Gilgamesh	Qur	intone	Scripture	Father_Iodide	Suffolk	daven	Osraed	have_sinned	sheafs	holy_ghost	Blessed	Holy_Mother	Scriptures	papyri	typewritten	Holy_Scriptures	dismissive_wave	sutra	Our_Lord_Jesus_Christ	Apology	Pia_Connor	innovating	Fung	digressive	swagger	cordon_off	plated	impressive_array	anti_terrorist	Funston	impressive	regressive	an_entrepreneur	coked_up	SIDDONS	Firefighters	rapidly_increasing	danger_zone	early_40s	BENZA	potentially_dangerous	increas_ing	active	highly_successful	highly_efficient	PUNK_1	adventurous	DF	edgy	ex_KGB	loudmouth	antisocial	danger_ous	scouting	bragging_about	9s	Progressive	multinational	commercially	invasion_zone	vehicular	TIE_fighters	fighter	late_70s	early_30s	infectiously	obsessively_neat	career	outsourcing	steroids	MGM	hugely_successful	Depressive	developing	lively_debate	intensely_curious	avers	early_50s	Extreme	innovative	pumping_gas	early_70s	warplanes	infecting	extreme_sports	TIE_fighter	early_90s	risky	amphibious	successful	downright_dangerous	Borillo	progressively	JZ	extremely_successful	deterring	souped_up	annoying	moderately_successful	infectious	extremely_dangerous	progressively_smaller	highly_competitive	progressively_worse	career_enhancing	progressives	dangerous	progressive	aggressors	passive_aggressive	aggressive_behavior	aggressor	aggressiveness	aggro	Aggressive	aggression	unaggressive	aggressions	aggres	aggressively	aggressive
selfless-jealous	selfless	selflessly	selflessness	selfless_act	ethos	wolfless_men	self_regard	self_denial	selfserving	selfloathing	self_diagnostic	unplaceable	cardio	timeless_quality	conventioneers	goodwill	faith_healing	acceptance	selfhood	self_discipline	timeless	undemonstrative	peaceable	True_Faith	neurosurgical	Acceptance	performative	wellbeing	emergency_medical_service	Cognitive	faith_healer	all_encompassing	pioneers	fellow_beings	emergency_medical_technicians	humanitarian_aid	self_representation	self_deprecating_smile	external_stimuli	self_respect	fundamental_level	true_vocation	emergency_medical	faith	acceptances	precognitive	emergency_medical_services	self_mastery	self_deprecation	self_deprecatory	serviceable	self_referential	inner_peace	self_assurance	self_deprecating_humor	volunteerism	serviceman	sustaining	self_gratification	encompassing	essentialism	nonrecognition	seminary	selfies	unconsciousness	self	survival_trait	moral	requiring	selective_memory	self_knowledge	slowmoving	equipoise	selfeffacing	timely_manner	sustained	virtue	self_annihilation	thoracic	servicemen	wide_margin	endurance	vicissitudes	open_mindedness	respite	collective_memory	performed	unanimity	efficacy	inessential	dutifulness	patience	postal_service	self_sacrifice	self_respecting	humanitarianism	Christian_faith	respiration	cognitive	liturgical	closer	Drat	sneaking_glances	hungrier	coking	googles	Snooping	flaunt	insulted	gum	Boyfriends	Ezry	Unfamiliar	tannoy	quarrel	draws_closer	spying	secretly_pleased	bitchy	snicked	sneaking_peeks	Drac	bedder	doubloons	nibs	sneaking_suspicion	skinnier	jeaned	envious	googled	secretly	Bassam	Uneasily	funnier	warty	goofing	Dashee	tease	nighter	Ooh	unhappier	preg_nant	strangle	Arp	worriedly	sulks	alarmed	irritated	scooted_closer	annoy	Bony	sneaked	Sonnier	irritate	wasp	chewing_gum	Morbid	complain	freaked	sulking	boyfriend	quarreling	Embarrassed	tangling	intrigued	strangled	snooping_around	suspicious	jealously_guarded	fumigated	Raghida	meaner	angrier	caught	Nomad	tinier	sneakier	worried	suspiciously	Ssh	strangles	tangled	strangling	redder	fatter	snooping	angry	resentfully	insanely_jealous	teased	snoop_around	jealous_rage	upset	jealousies	Jealous	jealous_type	jealousy	jeal	jealously	jealous
active-passive	active	activ	active_duty	actively	health_clubs	Glacier_Bay	Inactive	fund_raising_event	fund_raising	organiza	volunteer_fire_department	an_active_volcano	support_groups	volunteer_organization	health_club	forest_ranger	NOPD	outreaches	investigative_team	activity	Great_Patriotic_War	BBQ	volunteer_work	outlet_mall	activating	widely_available	Charleston	actively_engaged	active_role	First_Ward	extremely_attractive	sponsored	Rockland_County	prominent_Adam	support_group	Volunteer_Fire	organised	Isle_de_Foree	area	attended_church	Cub_Scout	Northwest	Orange_County	organizations	actively_sought	volunteer	fund_raiser	Episcopal_church	activities	currently_available	special_diets	Tower_Bay	busy	Central_Texas	Volunteer	Active	state_sponsored	AME_church	Silver_Bay	fire_drill	Tampa_Bay	fire_departments	NSW	centrally_located	continental_divide	proactive	Huddleston	terrorist_groups	DNN	Congregational_church	health_clinic	IWW	Ladies_Club	patriotic_duty	alderman	Challenge_International_Detective_Agency	Lake_Eden	SPD	organizing	Greenwood	fire_department	local_fire_department	Air_Base	herbicides	Graystripe	home_health_aide	fund_raisers	Milky_Way	assemblies	Central_America	Detective_Agency	busing	Bar_Harbor	rainbow	Delaney_Detective_Agency	Lubbock	Glamorgan	strategically_located	nationwide	Service_Department	pityingly	unmoved	unlovable	stoical	masterless	dumbstruck	unworldliness	blissfully_ignorant	falseness	narcissism	possessiveness	implacability	steeliness	immobility	ineluctably	utterly_ridiculous	weightiness	lifelessness	cupidity	utterly_baffled	trite	transfix	utterly_useless	preconceived_notions	submission	abased	refute	complacency	lapidary	utterly_incapable	seduction	unloved	inadequacy	stupefied	fragility	Massive	feigned_indifference	massiveness	nerveless	inevitability	boneless	flummoxed	gracelessly	contrite	indifferently	utterly_astonished	submissively	imposture	Defeated	parodic	obtuseness	implacable	fearfulness	pathos	utterly_helpless	masterly	rigidity	Tired	fallibility	Apu	dumbly	utterly_confused	utterly_oblivious	moroseness	sheer_stupidity	iness	stolidity	ineluctable	utterly	banality	simper	indifferent	unredeemable	utter_contempt	pitying	passionless	Utterly	seeming_indifference	passive_aggressive	utterly_devoid	Faceless	dejection	utterly_drained	dismissiveness	insensibility	indifference	pretence	pretences	passive_aggression	submissive	Passive	impassively	graceless	impassivity	submissiveness	passivity	impassive	Impassive	passively	passive
like-dislike	like	Like	Titty_Twister	Feels_like	raggedy_ass	Stelly	horror_movie	papier_mch	B_movie	shiny_aluminum	raggedy_doll	gangster_movie	Smacked	Uke	roadrunner	wingless	Sounded_like	voodoo_doll	Idol	Streaking	cartoon_bubble	Smack	cartoon_character	MIKEY	bat_winged	Bigger_than	hangs_loosely	Tarzan_movie	God_Bless_America	slow_mo	Looked	cascaded_down	cartoon_characters	Buzz_Lightyear	pastelcolored	slasher_movie	Cartoon	baby_doll	bobbled	Matchbox	some_kind	rainbow_colored	giant	trideo	lighter_than	Hotter_than	million_pieces	golden_hoops	bobbling	Jackie_Chan	Roadrunner	papier_mache	yin_yang	Lighter_than	ping_pong_ball	cornhusk	78s	bouncing_off	dreamcatcher	ping_pong_balls	xylophone	Creaking	dolla	shiny_chrome	bitty	disembowels	cartoon	Ya_got_ta	expectin	Tigger	spiracle	an_anvil	an_inflatable	oryx	Billowing	gaudier	MARK_Yeah	scary_movie	itty_bitty	Wile_E_Coyote	</s>	disembowel	corn_silk	stuffed_rabbit	hke	Smells_like	Humongous	Freaking	held_aloft_by	stuffed_owl	huh_Yep	Donald_Duck	featherweight	Adeena	streaking_across	bobblehead	an_infomercial	hollow_echo	whanging	Gayway	aroused_suspicion	attractiveness	hatreds	antagonisms	laxness	idle_curiosity	natural_reticence	rudeness	narrow_mindedness	resents	distaste	loathing	dissatisfactions	dissatisfaction	interest	admiration	upbringings	unhappiness	finer_feelings	mixed_feelings	animosity_toward	baseness	misapprehension	discourteous	mild_curiosity	social_relations	sympathology	distrusted	Bureau_Chief	immediate_superior	antagonism_between	cautious_optimism	sexual_proclivities	Unquestioning	distrusting	prejudices	bloodedness	heartedness	made_inquiries	close_scrutiny	tardiness	sidedness	disaffection	prejudice	social_graces	cynicism	outright_hostility	intense_curiosity	Edrel	social_reform	animosity_between	moodiness	bigotry	isolationism	proclivities	sensitivities	singlemindedness	hostilities	brusqueness	resentment	Distrust	intense_scrutiny	racial_hatred	extreme_prejudice	mistrusts	skepticism	sternness	discomforts	animosity	rootedness	enmity	social_awkwardness	guardedness	high_mindedness	mistrust	handedness	hostility	Maddocks	Ra_Havreii	become_acquainted	wariness	suspicions	mindedness	dissension	suspicion	obtuseness	motives	distrusts	distrust	open_mindedness	broad_mindedness	antagonism	an_instant_dislike	intense_dislike	Dislike	mislike	disliking	disliked	dislikes	dislike
